id,年龄,每月补贴积分,自理能力,居住情况,性别,婚姻状况,留存天数,观察期最后一次购买日期,第一次,最后一次,花费积分总数,总次数,月均次数,次均积分,家政服务,精神慰藉,生活照料,医疗保健,最大消费积分数,购买概率,购买天数,时间间隔,用户流失,最后一次距离12/31天数
516,84,100,3, ,0,1,508,2020/6/7,2019/1/16,2021/12/29,1009.2,63,3.720472441,16.01904762,13,0,50,0,44.8,2.172413793,29,17.51724138,0,2
517,84,200,3,与配偶及子女同住,0,1,361,2020/1/4,2019/1/8,2021/12/6,2577,32,2.659279778,80.53125,32,0,0,0,120,2.461538462,13,27.76923077,0,25
518,84,200,2,与子女同住,1,1,531,2020/6/28,2019/1/14,2021/10/17,1788,51,2.881355932,35.05882353,15,1,34,1,100,1.275,40,13.275,1,75
519,84,200,,,0,1,365,2020/1/8,2019/1/8,2021/12/19,2528,68,5.589041096,37.17647059,68,0,0,0,63,3.090909091,22,16.59090909,0,12
520,84,200,3, ,1,1,358,2020/1/8,2019/1/15,2021/12/15,2384,51,4.273743017,46.74509804,43,0,8,0,70,3,17,21.05882353,0,16
521,83,100,3,偶居,0,1,149,2020/1/19,2019/8/23,2021/12/28,490.4,9,1.812080537,54.48888889,9,0,0,0,90.4,2.25,4,37.25,0,3
522,84,100,3, ,1,1,503,2020/6/9,2019/1/23,2020/7/7,565,12,0.715705765,47.08333333,12,0,0,0,80,4,3,167.6666667,1,542
523,83,100,3,偶居,1,1,260,2020/6/28,2019/10/12,2021/11/27,1346,17,1.961538462,79.17647059,17,0,0,0,160,3.4,5,52,1,34
524,83,200,2,偶居,0,1,518,2020/6/18,2019/1/17,2021/12/16,2575.2,54,3.127413127,47.68888889,50,0,4,0,99,3.857142857,14,37,0,15
525,83,200,3, ,0,1,365,2020/1/16,2019/1/16,2021/10/25,2599.6,37,3.04109589,70.25945946,37,0,0,0,140,3.363636364,11,33.18181818,1,67
526,83,100,3,偶居,1,1,342,2020/6/27,2019/7/21,2021/12/25,1428.8,21,1.842105263,68.03809524,9,0,0,12,120,1.615384615,13,26.30769231,0,6
527,83,100,3,偶居,1,1,529,2020/6/22,2019/1/10,2021/12/9,1044.8,70,3.969754253,14.92571429,0,0,58,12,40.2,1.206896552,58,9.120689655,0,22
528,83,100,3,与子女同住,0,1,502,2020/6/8,2019/1/23,2021/7/17,977,16,0.956175299,61.0625,14,0,0,2,128,4,4,125.5,1,167
529,83,100,3, ,0,1,478,2020/6/27,2019/3/7,2020/11/5,1561,25,1.569037657,62.44,24,1,0,0,100,3.125,8,59.75,1,421
530,83,200,3,与子女同住,1,1,348,2020/1/8,2019/1/25,2021/12/23,2491,52,4.482758621,47.90384615,52,0,0,0,90,4,13,26.76923077,0,8
531,83,200,3, ,1,1,371,2020/1/19,2019/1/13,2021/12/28,2548,49,3.962264151,52,49,0,0,0,300,3.0625,16,23.1875,0,3
532,83,100,3, ,1,1,188,2019/12/31,2019/6/26,2021/12/30,634.8,11,1.755319149,57.70909091,9,0,0,2,240,5.5,2,94,0,1
533,83,200,3, ,1,1,360,2020/1/16,2019/1/21,2021/12/14,2542,54,4.5,47.07407407,54,0,0,0,90,3.176470588,17,21.17647059,0,17
534,83,100,3,偶居,1,1,474,2020/6/28,2019/3/12,2020/11/13,200,9,0.569620253,22.22222222,1,0,8,0,104,1.8,5,94.8,1,413
535,83,100,3,独居,0,1,391,2020/6/19,2019/5/25,2021/12/19,340,8,0.613810742,42.5,6,0,0,2,80,4,2,195.5,0,12
536,83,100,3,与配偶及子女同住,0,2,368,2020/6/22,2019/6/20,2021/12/22,980.4,20,1.630434783,49.02,20,0,0,0,101.6,5,4,92,0,9
537,83,200,3,与配偶及子女同住,0,1,185,2019/12/27,2019/6/25,2021/12/24,1560.4,32,5.189189189,48.7625,32,0,0,0,110,4.571428571,7,26.42857143,0,7
538,83,100,3,与配偶及子女同住,1,1,42,2019/12/29,2019/11/17,2021/12/18,600,9,6.428571429,66.66666667,8,0,0,1,120,4.5,2,21,0,13
539,83,100,3, ,0,1,140,2019/7/26,2019/3/8,2021/10/23,600,25,5.357142857,24,0,0,25,0,24,1,25,5.6,1,69
540,83,200,3,偶居,0,1,186,2020/1/3,2019/7/1,2021/12/10,1580.8,30,4.838709677,52.69333333,30,0,0,0,91,3.75,8,23.25,0,21
541,83,100,3, ,0,1,220,2020/6/23,2019/11/16,2020/10/20,464,11,1.5,42.18181818,9,0,0,2,120,5.5,2,110,1,437
542,83,100,3,与配偶及子女同住,0,1,436,2020/6/21,2019/4/12,2021/12/8,1086,34,2.339449541,31.94117647,34,0,0,0,48,4.857142857,7,62.28571429,0,23
543,82,100,3,偶居,1,1,343,2020/6/9,2019/7/2,2021/10/25,860,19,1.66180758,45.26315789,17,0,2,0,80,3.8,5,68.6,1,67
544,82,200,3,与子女同住,0,1,37,2020/1/11,2019/12/5,2021/12/25,548,5,4.054054054,109.6,5,0,0,0,150,1.666666667,3,12.33333333,0,6
545,82,100,3,偶居,1,1,190,2020/6/12,2019/12/5,2021/12/31,644,10,1.578947368,64.4,10,0,0,0,112,3.333333333,3,63.33333333,0,0
546,82,100,3, ,1,1,212,2020/6/24,2019/11/25,2021/12/5,587,9,1.273584906,65.22222222,9,0,0,0,104,3,3,70.66666667,0,26
547,82,200,3, ,0,1,64,2020/1/11,2019/11/8,2021/12/21,572,11,5.15625,52,9,0,2,0,90,3.666666667,3,21.33333333,0,10
548,82,200,3,偶居,1,1,180,2020/6/15,2019/12/18,2021/12/27,632,8,1.333333333,79,8,0,0,0,132,4,2,90,0,4
549,80,200,2, ,0,1,376,2020/1/16,2019/1/5,2021/12/15,2574.6,62,4.946808511,41.52580645,62,0,0,0,58.8,2.48,25,15.04,0,16
550,79,500,3, ,1,1,283,2020/1/20,2019/4/12,2021/12/31,5375.92,64,6.784452297,83.99875,62,2,0,0,100,2,32,8.84375,0,0
551,77,500,1, ,1,1,302,2019/11/19,2019/1/21,2021/10/23,1274,11,1.092715232,115.8181818,8,0,3,0,420,3.666666667,3,100.6666667,1,69
552,74,500,3,偶居,1,1,431,2020/6/30,2019/4/26,2021/12/21,2131.2,75,5.220417633,28.416,41,0,34,0,120,3,25,17.24,0,10
553,72,500,2, ,1,1,541,2020/6/29,2019/1/5,2020/11/4,7080,121,6.709796673,58.51239669,111,0,10,0,120,2.951219512,41,13.19512195,1,422
554,71,500,3, ,0,0,362,2020/1/5,2019/1/8,2021/12/11,5957,95,7.872928177,62.70526316,93,0,2,0,96,3.518518519,27,13.40740741,0,20
555,71,500,1, ,0,1,196,2019/9/10,2019/2/26,2021/3/19,1948,21,3.214285714,92.76190476,17,0,4,0,480,5.25,4,49,1,287
556,71,500,3,偶居,0,3,532,2020/6/23,2019/1/8,2021/12/23,7118.8,105,5.921052632,67.79809524,102,1,0,2,100,2.441860465,43,12.37209302,0,8
557,70,500,,,1,1,289,2020/6/4,2019/8/20,2021/12/7,1599.1,14,1.453287197,114.2214286,14,0,0,0,486,7,2,144.5,0,24
558,70,500,3, ,1,1,362,2020/1/20,2019/1/23,2021/12/18,6339.4,134,11.10497238,47.30895522,49,0,27,58,300,2.161290323,62,5.838709677,0,13
559,70,800,2, ,1,1,384,2020/1/23,2019/1/4,2021/12/27,10204,195,15.234375,52.32820513,195,0,0,0,300,2.954545455,66,5.818181818,0,4
560,70,500,,独居,0,1,400,2020/6/18,2019/5/15,2021/12/24,2153.4,20,1.5,107.67,20,0,0,0,486,6.666666667,3,133.3333333,0,7
561,69,500,3,与子女同住,0,1,238,2020/1/13,2019/5/20,2020/11/20,2170,35,4.411764706,62,34,0,1,0,300,3.181818182,11,21.63636364,1,406
562,68,500,3,与其他人同住,0,1,455,2020/6/28,2019/3/31,2021/12/20,6100.65,73,4.813186813,83.57054795,55,0,5,13,150,2.212121212,33,13.78787879,0,11
563,67,800,2,与配偶及子女同住,0,1,381,2020/1/18,2019/1/2,2021/12/27,9609.5,265,20.86614173,36.26226415,198,0,64,3,117,5.638297872,47,8.106382979,0,4
564,67,500,3,与子女同住,0,2,530,2020/6/24,2019/1/11,2021/12/27,5660,134,7.58490566,42.23880597,129,0,1,4,90,3.828571429,35,15.14285714,0,4
565,67,500,3,与子女同住,0,1,297,2020/1/18,2019/3/27,2021/12/28,4559.6,142,14.34343434,32.10985915,35,0,2,105,80,2.958333333,48,6.1875,0,3
566,67,500,3,偶居,0,3,377,2020/1/20,2019/1/8,2021/12/22,6313.64,174,13.84615385,36.28528736,174,0,0,0,60,4.461538462,39,9.666666667,0,9
567,66,500,3, ,0,1,371,2020/1/15,2019/1/9,2021/12/22,5840,77,6.226415094,75.84415584,76,0,1,0,120,2.2,35,10.6,0,9
568,66,500,3, ,0,1,371,2020/1/15,2019/1/9,2021/12/25,6209,126,10.18867925,49.27777778,120,0,6,0,300,3.073170732,41,9.048780488,0,6
569,65,500,3,偶居,1,1,360,2019/12/30,2019/1/4,2021/12/24,5056,156,13,32.41025641,107,0,49,0,100,3.183673469,49,7.346938776,0,7
570,65,500,3,独居,0,1,375,2020/1/21,2019/1/11,2021/12/31,6338,210,16.8,30.18095238,125,0,85,0,60,3.28125,64,5.859375,0,0
571,64,500,,,1,1,277,2020/1/21,2019/4/19,2021/12/22,2195,114,12.3465704,19.25438596,6,0,107,1,100,1.085714286,105,2.638095238,0,9
572,70,500,3,与子女同住,1,1,357,2020/1/15,2019/1/23,2021/12/29,6290.4,83,6.974789916,75.78795181,83,0,0,0,146,3.608695652,23,15.52173913,0,2
573,89,200,2,偶居,1,1,199,2020/6/7,2019/11/21,2021/12/27,333.2,8,1.206030151,41.65,8,0,0,0,65.6,4,2,99.5,0,4
574,99,400,0,与子女同住,0,1,290,2019/12/30,2019/3/15,2021/12/1,4796,31,3.206896552,154.7096774,31,0,0,0,300,1.107142857,28,10.35714286,0,30
575,99,300,1,与配偶及子女同住,1,1,334,2019/12/26,2019/1/26,2021/9/26,3591,55,4.94011976,65.29090909,55,0,0,0,150,4.230769231,13,25.69230769,1,96
576,98,200,2,偶居,1,1,27,2020/1/6,2019/12/10,2021/12/20,596,6,6,99.33333333,6,0,0,0,150,2,3,9,0,11
577,98,150,2,与子女同住,1,1,356,2020/1/14,2019/1/23,2021/12/9,1945,54,4.550561798,36.01851852,54,0,0,0,60,3.857142857,14,25.42857143,0,22
578,98,300,1,与子女同住,1,1,322,2020/1/17,2019/3/1,2021/12/10,3750,24,2.236024845,156.25,24,0,0,0,300,1,24,13.41666667,0,21
579,96,200,2, ,1,1,358,2020/1/6,2019/1/13,2021/12/13,2550,16,1.340782123,159.375,16,0,0,0,300,1,16,22.375,0,18
580,95,150,3,独居,1,1,371,2020/1/14,2019/1/8,2021/5/24,1950,12,0.970350404,162.5,12,0,0,0,300,1,12,30.91666667,1,221
581,95,200,3,与配偶及子女同住,1,1,359,2020/1/8,2019/1/14,2021/4/20,2588.8,34,2.841225627,76.14117647,34,0,0,0,120,2.615384615,13,27.61538462,1,255
582,95,200,1,与其他人同住,1,1,282,2020/1/4,2019/3/28,2020/9/12,2578.8,32,3.404255319,80.5875,32,0,0,0,167,3.2,10,28.2,1,475
583,94,200,,,1,3,362,2020/1/7,2019/1/10,2021/7/8,2599.6,30,2.486187845,86.65333333,30,0,0,0,130,2.307692308,13,27.84615385,1,176
584,94,300,3,与子女同住,1,1,162,2019/12/30,2019/7/21,2021/12/13,1844,18,3.333333333,102.4444444,18,0,0,0,150,1.8,10,16.2,0,18
585,93,300,3,偶居,1,1,378,2020/1/18,2019/1/5,2021/12/8,3900,25,1.984126984,156,25,0,0,0,300,1,25,15.12,0,23
586,93,200,3,偶居,1,1,368,2020/1/16,2019/1/13,2021/12/29,2599,35,2.85326087,74.25714286,35,0,0,0,120,2.692307692,13,28.30769231,0,2
587,93,200,2,偶居,0,1,344,2019/12/25,2019/1/15,2021/12/15,2360,55,4.796511628,42.90909091,33,0,22,0,100,2.291666667,24,14.33333333,0,16
588,93,200,2, ,1,1,356,2020/1/16,2019/1/25,2021/12/28,2400,16,1.348314607,150,16,0,0,0,150,1,16,22.25,0,3
589,93,200,2,与其他人同住,1,1,161,2020/1/12,2019/8/4,2021/12/6,1581.6,21,3.913043478,75.31428571,21,0,0,0,130,2.625,8,20.125,0,25
590,93,200,,,1,3,360,2020/1/6,2019/1/11,2021/12/18,2600,37,3.083333333,70.27027027,37,0,0,0,140.8,2.846153846,13,27.69230769,0,13
591,93,300,1,偶居,1,1,359,2020/1/5,2019/1/11,2021/12/12,3750,25,2.08913649,150,25,0,0,0,150,1,25,14.36,0,19
592,92,300,2,偶居,1,1,344,2020/1/5,2019/1/26,2021/11/28,3732,30,2.61627907,124.4,30,0,0,0,300,1.666666667,18,19.11111111,1,33
593,92,200,2,偶居,1,1,351,2019/12/26,2019/1/9,2021/12/11,2170,28,2.393162393,77.5,28,0,0,0,300,2.545454545,11,31.90909091,0,20
594,92,300,1,偶居,1,1,357,2020/1/19,2019/1/27,2021/12/28,3473,182,15.29411765,19.08241758,29,0,153,0,100,1.421875,128,2.7890625,0,3
595,92,200,3,偶居,1,1,372,2020/1/19,2019/1/12,2021/8/26,2599.52,29,2.338709677,89.63862069,29,0,0,0,130,2.230769231,13,28.61538462,1,127
596,92,200,2,独居,1,1,330,2019/12/22,2019/1/26,2021/12/17,2398,18,1.636363636,133.2222222,18,0,0,0,150,1.2,15,22,0,14
597,92,200,2,与其他人同住,1,1,307,2020/1/5,2019/3/4,2021/12/12,2588,41,4.006514658,63.12195122,41,0,0,0,120,3.416666667,12,25.58333333,0,19
598,92,300,2,与子女同住,1,3,371,2020/1/11,2019/1/5,2021/12/18,3830,93,7.520215633,41.1827957,93,0,0,0,55,2.583333333,36,10.30555556,0,13
599,92,200,,,1,1,362,2020/1/4,2019/1/7,2021/11/24,2571,33,2.73480663,77.90909091,33,0,0,0,120,2.538461538,13,27.84615385,1,37
600,92,300,1,偶居,1,3,293,2019/12/30,2019/3/12,2021/12/21,3520,53,5.42662116,66.41509434,53,0,0,0,100,2.304347826,23,12.73913043,0,10
601,91,300,2,与子女同住,1,1,370,2020/1/19,2019/1/14,2021/8/24,3100,21,1.702702703,147.6190476,0,0,21,0,300,1,21,17.61904762,1,129
602,91,200,2,偶居,1,1,353,2020/1/18,2019/1/30,2021/9/23,2494,70,5.949008499,35.62857143,26,0,44,0,300,1.707317073,41,8.609756098,1,99
603,91,200,3,偶居,1,1,313,2020/1/15,2019/3/8,2021/12/25,2535,95,9.10543131,26.68421053,21,0,74,0,300,1.93877551,49,6.387755102,0,6
604,91,300,1,偶居,1,1,360,2020/1/20,2019/1/25,2021/12/13,3450,23,1.916666667,150,23,0,0,0,150,1,23,15.65217391,0,18
605,91,100,3, ,1,1,437,2020/6/27,2019/4/17,2021/12/14,752.8,8,0.549199085,94.1,8,0,0,0,360,4,2,218.5,0,17
606,91,200,3,独居,1,1,358,2020/1/15,2019/1/22,2021/12/19,2550,37,3.100558659,68.91891892,37,0,0,0,300,2.3125,16,22.375,0,12
607,91,200,2,偶居,1,1,365,2020/1/15,2019/1/15,2021/12/15,2550,38,3.123287671,67.10526316,38,0,0,0,100,2.235294118,17,21.47058824,0,16
608,91,200,2,偶居,1,1,350,2020/1/15,2019/1/30,2021/5/31,2593,41,3.514285714,63.24390244,41,0,0,0,110,3.416666667,12,29.16666667,1,214
609,91,300,,,1,1,353,2019/12/29,2019/1/10,2021/4/28,2839,49,4.164305949,57.93877551,49,0,0,0,120,4.454545455,11,32.09090909,1,247
610,91,200,3,偶居,1,1,357,2020/1/20,2019/1/28,2021/12/8,2600,42,3.529411765,61.9047619,42,0,0,0,90,1.826086957,23,15.52173913,0,23
611,91,200,2,与其他人同住,1,1,352,2019/12/31,2019/1/13,2021/12/16,1865,24,2.045454545,77.70833333,24,0,0,0,150,3.428571429,7,50.28571429,0,15
612,91,200,2,与子女同住,1,1,353,2020/1/10,2019/1/22,2021/12/8,2550,37,3.144475921,68.91891892,37,0,0,0,100,2.176470588,17,20.76470588,0,23
613,91,400,0,与子女同住,0,3,475,2020/6/24,2019/3/7,2021/12/22,5133.48,123,7.768421053,41.73560976,90,0,0,33,324,5.590909091,22,21.59090909,0,9
614,90,200,2,与其他人同住,1,1,131,2020/1/16,2019/9/7,2021/12/16,1572,23,5.267175573,68.34782609,23,0,0,0,160,3.833333333,6,21.83333333,0,15
615,90,200,2,偶居,1,1,355,2020/1/19,2019/1/29,2021/12/7,2588.96,36,3.042253521,71.91555556,36,0,0,0,120,3,12,29.58333333,0,24
616,90,200,3,偶居,1,1,371,2020/1/21,2019/1/15,2021/1/26,2140,92,7.4393531,23.26086957,26,0,66,0,100,1.226666667,75,4.946666667,1,339
617,90,200,2,与子女同住,1,1,370,2020/1/22,2019/1/17,2021/3/3,2550,17,1.378378378,150,17,0,0,0,150,1,17,21.76470588,1,303
618,90,200,2,独居,0,1,288,2020/1/7,2019/3/25,2021/12/15,2419,122,12.70833333,19.82786885,21,0,101,0,115,1.742857143,70,4.114285714,0,16
619,90,200,2,偶居,1,1,364,2020/1/5,2019/1/6,2021/12/17,2588.6,34,2.802197802,76.13529412,34,0,0,0,120,2.615384615,13,28,0,14
620,90,200,3,偶居,1,1,360,2020/1/15,2019/1/20,2021/12/30,2410,28,2.333333333,86.07142857,28,0,0,0,300,2.153846154,13,27.69230769,0,1
621,90,200,1,与子女同住,0,1,368,2020/1/14,2019/1/11,2021/12/8,2600,50,4.076086957,52,50,0,0,0,80,2,25,14.72,0,23
622,90,200,3,偶居,1,1,361,2019/12/31,2019/1/4,2021/7/7,2079,54,4.487534626,38.5,24,0,30,0,150,2.25,24,15.04166667,1,177
623,90,200,3,与配偶及子女同住,1,1,370,2020/1/10,2019/1/5,2021/12/29,2590,42,3.405405405,61.66666667,40,0,2,0,120,3.230769231,13,28.46153846,0,2
624,90,300,2,偶居,0,1,369,2020/1/18,2019/1/14,2021/12/29,3794,101,8.211382114,37.56435644,51,0,50,0,90,2.295454545,44,8.386363636,0,2
625,90,300,1,偶居,1,1,380,2020/1/22,2019/1/7,2021/12/29,3900,58,4.578947368,67.24137931,58,0,0,0,150,2.32,25,15.2,0,2
626,89,150,3,偶居,0,1,326,2019/12/15,2019/1/23,2021/12/2,1800,26,2.392638037,69.23076923,26,0,0,0,100,2.166666667,12,27.16666667,0,29
627,88,200,2,与子女同住,1,1,342,2020/1/7,2019/1/30,2021/12/6,2550,40,3.50877193,63.75,40,0,0,0,100,2.352941176,17,20.11764706,0,25
628,87,200,3,偶居,1,0,341,2020/1/7,2019/1/31,2021/6/8,1500,9,0.791788856,166.6666667,9,0,0,0,300,1,9,37.88888889,1,206
629,87,200,2,偶居,1,1,331,2019/12/27,2019/1/30,2021/12/23,2400,35,3.172205438,68.57142857,35,0,0,0,100,2.1875,16,20.6875,0,8
630,87,150,3,偶居,0,1,344,2019/12/26,2019/1/16,2021/10/19,1705,72,6.279069767,23.68055556,17,0,55,0,100,1.8,40,8.6,1,73
631,87,200,2,偶居,1,1,291,2020/1/8,2019/3/23,2021/6/4,1920,25,2.577319588,76.8,25,0,0,0,300,2.5,10,29.1,1,210
632,87,300,2,偶居,1,1,280,2019/12/24,2019/3/19,2021/6/25,3340,39,4.178571429,85.64102564,39,0,0,0,300,2.052631579,19,14.73684211,1,189
633,87,200,2,与子女同住,0,1,355,2020/1/17,2019/1/27,2021/12/21,2550,17,1.436619718,150,17,0,0,0,150,1,17,20.88235294,0,10
634,87,200,2,偶居,1,1,290,2019/12/28,2019/3/13,2021/8/31,2390,32,3.310344828,74.6875,32,0,0,0,300,2.461538462,13,22.30769231,1,122
635,86,300,2,偶居,0,1,280,2019/12/28,2019/3/23,2021/8/29,3410,40,4.285714286,85.25,40,0,0,0,300,2.222222222,18,15.55555556,1,124
636,86,200,3, ,0,1,365,2020/1/17,2019/1/17,2021/12/16,2336,49,4.02739726,47.67346939,49,0,0,0,80,3.266666667,15,24.33333333,0,15
637,86,150,3,与配偶及子女同住,1,1,339,2019/12/27,2019/1/22,2021/12/9,1800,29,2.566371681,62.06896552,29,0,0,0,100,2.416666667,12,28.25,0,22
638,86,200,2, ,0,1,374,2020/1/14,2019/1/5,2021/12/9,2550,17,1.363636364,150,17,0,0,0,150,1,17,22,0,22
639,86,200,2,与其他人同住,1,1,368,2020/1/12,2019/1/9,2021/12/27,2600,38,3.097826087,68.42105263,38,0,0,0,140,3.454545455,11,33.45454545,0,4
640,86,200,2,与子女同住,1,1,151,2020/1/5,2019/8/7,2021/11/30,1549.6,24,4.768211921,64.56666667,24,0,0,0,130,4,6,25.16666667,1,31
641,86,200,2, ,0,3,147,2020/1/19,2019/8/25,2021/12/29,1550,11,2.244897959,140.9090909,11,0,0,0,150,1.1,10,14.7,0,2
642,86,200,3,独居,0,3,359,2020/1/15,2019/1/21,2021/12/28,2580.4,30,2.506963788,86.01333333,30,0,0,0,160,2.5,12,29.91666667,0,3
643,86,200,2,偶居,1,1,363,2020/1/22,2019/1/24,2021/10/19,2550,15,1.239669421,170,15,0,0,0,300,1,15,24.2,1,73
644,85,800,2,与其他人同住,0,3,320,2020/1/19,2019/3/5,2021/12/26,7157,108,10.125,66.26851852,108,0,0,0,150,4.695652174,23,13.91304348,0,5
645,85,200,2,与子女同住,0,3,369,2020/1/18,2019/1/14,2021/12/18,2600,27,2.195121951,96.2962963,27,0,0,0,160,2.076923077,13,28.38461538,0,13
646,85,150,3,与子女同住,0,1,363,2020/1/19,2019/1/21,2021/11/26,1500,23,1.900826446,65.2173913,20,0,3,0,108,3.285714286,7,51.85714286,1,35
647,85,100,3,偶居,1,1,342,2020/6/3,2019/6/27,2021/12/30,1386.2,31,2.719298246,44.71612903,5,0,0,26,150,3.875,8,42.75,0,1
648,84,200,3, ,1,1,357,2020/1/16,2019/1/24,2021/7/8,2410,34,2.857142857,70.88235294,34,0,0,0,300,2.266666667,15,23.8,1,176
649,84,200,2, ,0,1,344,2019/12/29,2019/1/19,2021/5/30,2400,15,1.308139535,160,15,0,0,0,300,1,15,22.93333333,1,215
650,77,500,3, ,1,1,534,2020/6/29,2019/1/12,2021/12/27,5392.6,107,6.011235955,50.39813084,107,0,0,0,135,5.35,20,26.7,0,4
651,101,200,2,与子女同住,1,0,516,2020/6/15,2019/1/16,2021/12/2,2652.9,87,5.058139535,30.49310345,54,10,10,13,67.5,6.692307692,13,39.69230769,0,29
652,101,200,2,与子女同住,0,1,367,2020/1/11,2019/1/9,2021/12/15,2558,54,4.414168937,47.37037037,44,0,10,0,90,3.857142857,14,26.21428571,0,16
653,100,200,2,与子女同住,1,3,515,2020/6/10,2019/1/12,2021/12/22,2719.1,67,3.902912621,40.58358209,65,0,2,0,96.3,4.466666667,15,34.33333333,0,9
654,99,200,2,与子女同住,1,1,522,2020/6/19,2019/1/14,2021/12/29,2914.9,82,4.712643678,35.54756098,81,0,0,1,216,4.1,20,26.1,0,2
655,98,300,1, ,1,1,453,2020/6/29,2019/4/3,2021/12/24,3489.9,72,4.768211921,48.47083333,72,0,0,0,108,4.8,15,30.2,0,7
656,98,200,2, ,0,1,540,2020/6/26,2019/1/3,2021/12/24,3641.4,135,7.5,26.97333333,122,0,8,5,162,4.655172414,29,18.62068966,0,7
657,97,400,3,与子女同住,0,0,305,2020/6/26,2019/8/26,2021/12/16,968.3,26,2.557377049,37.24230769,26,0,0,0,80,3.714285714,7,43.57142857,0,15
658,97,200,2,,0,,17,2020/6/29,2020/6/12,2020/11/13,550.8,13,13,42.36923077,10,0,2,1,108,6.5,2,8.5,1,413
659,97,200,3,与配偶及子女同住,1,1,374,2020/1/15,2019/1/6,2021/12/13,2600,30,2.406417112,86.66666667,30,0,0,0,100,1.2,25,14.96,0,18
660,97,200,1,与配偶及子女同住,1,1,369,2020/1/15,2019/1/11,2021/12/16,2560,40,3.25203252,64,40,0,0,0,80,1.739130435,23,16.04347826,0,15
661,96,400,3,与子女同住,0,1,451,2020/6/15,2019/3/22,2021/12/30,1360.6,29,1.929046563,46.91724138,29,0,0,0,102,3.625,8,56.375,0,1
662,96,300,1,与子女同住,0,3,509,2020/6/18,2019/1/26,2021/12/14,3872,96,5.658153242,40.33333333,42,0,53,1,100,1.454545455,66,7.712121212,0,17
663,96,200,2,与子女同住,1,0,508,2020/6/16,2019/1/25,2021/12/14,2820.5,86,5.078740157,32.79651163,83,0,1,2,67.5,4.3,20,25.4,0,17
664,96,100,3,与子女同住,0,1,526,2020/6/23,2019/1/14,2021/12/28,1449,40,2.281368821,36.225,39,0,0,1,62.4,3.636363636,11,47.81818182,0,3
665,95,200,2,与配偶及子女同住,0,1,369,2020/1/14,2019/1/10,2021/12/19,2585.8,85,6.910569106,30.42117647,85,0,0,0,40,3.269230769,26,14.19230769,0,12
666,95,400,0,与子女同住,0,1,544,2020/6/30,2019/1/3,2021/11/26,5245,197,10.86397059,26.62436548,40,0,120,37,110.4,1.655462185,119,4.571428571,1,35
667,95,200,1,与子女同住,1,1,367,2020/1/15,2019/1/13,2021/12/22,2560,44,3.596730245,58.18181818,44,0,0,0,80,2,22,16.68181818,0,9
668,94,200,2,与子女同住,1,1,363,2020/1/15,2019/1/17,2021/12/25,2528,56,4.628099174,45.14285714,42,0,14,0,70,4.307692308,13,27.92307692,0,6
669,94,200,3,独居,0,1,359,2020/1/10,2019/1/16,2021/12/30,1920,60,5.013927577,32,45,0,15,0,70,4,15,23.93333333,0,1
670,94,300,0,与子女同住,0,3,368,2020/1/19,2019/1/16,2021/12/17,3370,63,5.135869565,53.49206349,47,0,16,0,110,3,21,17.52380952,0,14
671,94,200,1,与配偶及子女同住,0,1,366,2020/1/16,2019/1/15,2021/12/18,2490,44,3.606557377,56.59090909,44,0,0,0,75,2,22,16.63636364,0,13
672,94,200,2,与子女同住,0,3,368,2020/1/8,2019/1/5,2021/12/9,2592.8,76,6.195652174,34.11578947,40,0,15,21,85.2,5.428571429,14,26.28571429,0,22
673,94,200,1,与配偶及子女同住,1,1,365,2020/1/8,2019/1/8,2021/12/19,2600,28,2.301369863,92.85714286,28,0,0,0,120,1.166666667,24,15.20833333,0,12
674,94,200,2,与子女同住,0,1,369,2020/1/19,2019/1/15,2021/10/8,2560,49,3.983739837,52.24489796,39,0,10,0,100,3.769230769,13,28.38461538,1,84
675,94,200,2,与子女同住,1,1,368,2020/1/9,2019/1/6,2021/10/14,2598,45,3.668478261,57.73333333,29,0,16,0,118,3.461538462,13,28.30769231,1,78
676,93,100,3,与子女同住,0,3,255,2020/6/28,2019/10/17,2021/12/2,860,16,1.882352941,53.75,16,0,0,0,120,3.2,5,51,0,29
677,93,300,1,与子女同住,1,0,530,2020/6/21,2019/1/8,2021/7/20,2330.1,104,5.886792453,22.40480769,8,0,84,12,110.4,1.142857143,91,5.824175824,1,164
678,93,200,3,独居,1,0,332,2020/1/11,2019/2/13,2021/11/26,2562,54,4.879518072,47.44444444,33,0,21,0,100,4.909090909,11,30.18181818,1,35
679,93,300,1,偶居,1,0,526,2020/6/23,2019/1/14,2021/12/17,3435,91,5.190114068,37.74725275,17,0,66,8,432,1.197368421,76,6.921052632,0,14
680,93,200,2,与子女同住,0,1,189,2020/1/9,2019/7/4,2021/12/30,1839.6,34,5.396825397,54.10588235,25,0,6,3,120,4.857142857,7,27,0,1
681,93,300,1,与子女同住,0,0,365,2020/1/8,2019/1/8,2021/12/28,3050,73,6,41.78082192,59,0,14,0,80,3.842105263,19,19.21052632,0,3
682,92,100,3,与子女同住,0,3,370,2020/6/7,2019/6/3,2021/12/27,698,48,3.891891892,14.54166667,4,0,44,0,60,1.263157895,38,9.736842105,0,4
683,92,200,2, ,0,3,506,2020/6/15,2019/1/26,2021/11/27,2871.4,48,2.845849802,59.82083333,42,0,4,2,117,3,16,31.625,1,34
